X,Y,osm_id,code,fclass,name
-70.8979847,42.0548609,289333792,6101,rail,
-70.897233,42.054332,289333792,6101,rail,
-70.895522,42.0531282,289333792,6101,rail,
-70.8945485,42.0524291,289333792,6101,rail,
-70.894015,42.0520157,289333792,6101,rail,
-70.9333357,42.1042734,289333793,6101,rail,Plymouth Branch
-70.9333171,42.1042236,289333793,6101,rail,Plymouth Branch
-70.9333171,42.1042236,289333794,6101,rail,Plymouth Branch
-70.9332652,42.1040899,289333794,6101,rail,Plymouth Branch
-70.9318384,42.1002934,289333794,6101,rail,Plymouth Branch
-70.9302665,42.0960887,289333794,6101,rail,Plymouth Branch
-70.9292763,42.0934568,289333794,6101,rail,Plymouth Branch
-70.9282857,42.0908219,289333794,6101,rail,Plymouth Branch
-70.9276757,42.0891728,289333794,6101,rail,Plymouth Branch
-70.9272488,42.0881031,289333794,6101,rail,Plymouth Branch
-70.926919,42.0874583,289333794,6101,rail,Plymouth Branch
-70.9267181,42.0871116,289333794,6101,rail,Plymouth Branch
-70.9264919,42.0867693,289333794,6101,rail,Plymouth Branch
-70.9252129,42.0850693,289333794,6101,rail,Plymouth Branch
-70.9241064,42.0836657,289333794,6101,rail,Plymouth Branch
-70.9238446,42.0833123,289333794,6101,rail,Plymouth Branch
-70.9232538,42.0825841,289333794,6101,rail,Plymouth Branch
-70.9202909,42.0787145,289333794,6101,rail,Plymouth Branch
-70.9161091,42.073305,289333794,6101,rail,Plymouth Branch
-70.9095238,42.0647276,289333794,6101,rail,Plymouth Branch
-70.90918,42.0642798,289333794,6101,rail,Plymouth Branch
-70.9085865,42.0635077,289333794,6101,rail,Plymouth Branch
-70.9081109,42.0629135,289333794,6101,rail,Plymouth Branch
-70.9376197,42.1157424,289333797,6101,rail,Plymouth Branch
-70.9375554,42.1155505,289333797,6101,rail,Plymouth Branch
-70.9375554,42.1155505,289333798,6101,rail,Plymouth Branch
-70.9366344,42.1131037,289333798,6101,rail,Plymouth Branch
-70.934915,42.108505,289333798,6101,rail,Plymouth Branch
-70.9343839,42.1070646,289333798,6101,rail,Plymouth Branch
-70.9333357,42.1042734,289333798,6101,rail,Plymouth Branch
-70.952359,42.1535314,289333799,6101,rail,
-70.9519788,42.1529825,289333799,6101,rail,
-70.9517859,42.152706,289333799,6101,rail,
-70.9502987,42.1503551,289333799,6101,rail,
-70.9489337,42.1481756,289333799,6101,rail,
-70.9483493,42.1472557,289333799,6101,rail,
-70.9465978,42.1444669,289333799,6101,rail,
-70.946424,42.1441758,289333799,6101,rail,
-70.9460678,42.1435229,289333799,6101,rail,
-70.9458641,42.1431141,289333799,6101,rail,
-70.9456992,42.1427408,289333799,6101,rail,
-70.9455224,42.1423052,289333799,6101,rail,
-70.9452467,42.1415342,289333799,6101,rail,
-70.9450879,42.1410142,289333799,6101,rail,
-70.9447882,42.1400098,289333799,6101,rail,
-70.9443586,42.1385541,289333799,6101,rail,
-70.9441821,42.1379646,289333799,6101,rail,
-70.9436558,42.1361859,289333799,6101,rail,
-70.9433018,42.1349792,289333799,6101,rail,
-70.9424289,42.1320306,289333799,6101,rail,
-70.9421286,42.1310211,289333799,6101,rail,
-70.9419566,42.1304456,289333799,6101,rail,
-70.9414349,42.128654,289333800,6101,rail,
-70.9416286,42.1291525,289333800,6101,rail,
-70.9414349,42.128654,289333801,6101,rail,
-70.9413557,42.1283787,289333801,6101,rail,
-70.9412276,42.1279799,289333801,6101,rail,
-70.9411722,42.127791,289333801,6101,rail,
